id,code,name
edu_inst_141331503,141331503,De Chincheros
edu_inst_141331628,141331628,Huaccana
edu_inst_141335744,141335744,El Milagro
edu_inst_141341759,141341759,San Salvador
edu_inst_141345073,141345073,Yanque
edu_inst_141345115,141345115,Valle De Tambo
edu_inst_141348697,141348697,Nuevo Occoro
edu_inst_141349943,141349943,Santo Domingo De Guzman - Sucre
edu_inst_141350404,141350404,San Pedro De Churcampa
edu_inst_141350982,141350982,San Juan-Vilcashuaman
edu_inst_141351527,141351527,Querocoto
edu_inst_141351543,141351543,El Descanso
edu_inst_141351956,141351956,Santa Lucia - Lampa
edu_inst_141355676,141355676,Lurin
edu_inst_141355692,141355692,Centro De Formacion Agricola Moquegua
edu_inst_141359033,141359033,Kimbiri
edu_inst_141359041,141359041,Señor De Locumba
edu_inst_141364678,141364678,San Antonio De Padua
edu_inst_141365865,141365865,Chalamarca
edu_inst_141367127,141367127,De Chirinos
edu_inst_141369792,141369792,Santos Villalobos Huaman
edu_inst_141369842,141369842,Andabamba
edu_inst_141375310,141375310,Chupaca
edu_inst_141377126,141377126,Rodrigo Salazar Palacios
edu_inst_141379171,141379171,Pablo Butz
edu_inst_141380351,141380351,De Progreso
edu_inst_141384478,141384478,Chacas
edu_inst_141384486,141384486,Todas Las Artes
edu_inst_141385095,141385095,Cefop Cajamarca
edu_inst_141385426,141385426,Jose Domingo Choquehuanca
edu_inst_141389949,141389949,Pazos
edu_inst_141389956,141389956,Ruben Maravi Romani
edu_inst_141389972,141389972,Santa Maria De Nieva
edu_inst_141389980,141389980,San Jose
edu_inst_141390004,141390004,Chupa
edu_inst_141390608,141390608,Enrique Pablo Mejia Tupayachi
edu_inst_141391739,141391739,Inmaculada Concepcion
edu_inst_141391747,141391747,Chojata
edu_inst_141392695,141392695,San Lorenzo
edu_inst_141393800,141393800,San Nicolas
edu_inst_141396217,141396217,Virgen De La Natividad
edu_inst_141396290,141396290,Zepita
edu_inst_141403559,141403559,Lircay
edu_inst_141403575,141403575,Virgen De Cocharcas - Angaraes
